22299109,1,30000000,30000000
id,quantity,item_price,total_sum
22245120,50,2700,135000
id,quantity,item_price,total_sum
22244615,1,20000,20000
id,quantity,item_price,total_sum
22243719,1200,103.01,123607.68
id,quantity,item_price,total_sum
22227124,2,11190000,22380000
id,quantity,item_price,total_sum
22226857,225,154000,34650000
id,quantity,item_price,total_sum
22164585,1,198140.32,198140.32
id,quantity,item_price,total_sum
22150617,16,446.43,7142.88
id,quantity,item_price,total_sum
22150489,75,109.52,8214
id,quantity,item_price,total_sum
22137783,1,361000,361000
id,quantity,item_price,total_sum
22137423,5000,50,250000
id,quantity,item_price,total_sum
22129844,35,1500,52500
id,quantity,item_price,total_sum
22123894,2,8590000,17180000
id,quantity,item_price,total_sum
22089639,6,20089,120534
id,quantity,item_price,total_sum
22088920,2,84896,169792
id,quantity,item_price,total_sum
22075054,103,24400,2513200
id,quantity,item_price,total_sum
22074638,50,1499,74950
id,quantity,item_price,total_sum
22073883,8,59800,478400
id,quantity,item_price,total_sum
22073522,2,15000,30000
id,quantity,item_price,total_sum
22067017,50,400,20000
id,quantity,item_price,total_sum
22048789,80,52500,4200000
id,quantity,item_price,total_sum
21946713,10000,73.4,734000
21946712,500,73.4,36700
id,quantity,item_price,total_sum
21890217,2000,20,40000
id,quantity,item_price,total_sum
21889687,1000,32.9,32900
id,quantity,item_price,total_sum
21793191,5,5940032,29700160
id,quantity,item_price,total_sum
21741578,1,481000,481000
id,quantity,item_price,total_sum
21737861,4,10080,40320
id,quantity,item_price,total_sum
21732001,1,245000,245000
id,quantity,item_price,total_sum
21714239,16,2800,44800
id,quantity,item_price,total_sum
21713174,10,1250,12500
id,quantity,item_price,total_sum
21699167,1,1600,1600
21699166,1,6500,6500
21699165,1,12500,12500
id,quantity,item_price,total_sum
21680838,80,15769.6,1261568
id,quantity,item_price,total_sum
21667508,1,21500,21500
id,quantity,item_price,total_sum
21660028,1,44800,44800
id,quantity,item_price,total_sum
21659651,2,120500,241000
id,quantity,item_price,total_sum
21657916,1,4500,4500
21657915,1,4200,4200
21657914,1,5500,5500
id,quantity,item_price,total_sum
21589975,16,14000,224000
id,quantity,item_price,total_sum
21585999,50,6748,337400
id,quantity,item_price,total_sum
21573218,3,113400,340200
id,quantity,item_price,total_sum
21518869,1,2638848,2638848
id,quantity,item_price,total_sum
21440034,1,180000,200000
id,quantity,item_price,total_sum
21438825,1,300000,300000
id,quantity,item_price,total_sum
21437985,1,200000,200000
id,quantity,item_price,total_sum
21437365,1,80000,80000
id,quantity,item_price,total_sum
21436199,1,53902,53902
id,quantity,item_price,total_sum
21423236,50,190,9500
id,quantity,item_price,total_sum
21404264,13,5670,73710
id,quantity,item_price,total_sum
21403954,16,2500,40000
id,quantity,item_price,total_sum
21403369,10,1200,12000
id,quantity,item_price,total_sum
21363829,80,17000,1360000
id,quantity,item_price,total_sum
21280329,1,72688,72688
id,quantity,item_price,total_sum
21123716,160,385.28,61644.8
id,quantity,item_price,total_sum
21123418,25,250,6250
id,quantity,item_price,total_sum
21120546,25,318,7950
21120545,50,528,26400
21120544,50,489,24450
id,quantity,item_price,total_sum
21118799,1,481000,481000
id,quantity,item_price,total_sum
21117048,1,9049.6,9049.6
id,quantity,item_price,total_sum
21028025,1,108416,108416
id,quantity,item_price,total_sum
20944863,80,214,17120
id,quantity,item_price,total_sum
20910292,5,9000,45000
id,quantity,item_price,total_sum
20909172,100,115,11500
id,quantity,item_price,total_sum
20908574,2,27496,54992
id,quantity,item_price,total_sum
20907979,1200,106.4,127680
id,quantity,item_price,total_sum
20906553,10000,73.4,734000
id,quantity,item_price,total_sum
20897164,1,569408,569408
id,quantity,item_price,total_sum
20896463,2,216160,432320
20896462,6,162064,972384
id,quantity,item_price,total_sum
20669615,20,1200,24000
id,quantity,item_price,total_sum
20663693,10,3000,30000
id,quantity,item_price,total_sum
20642606,1,25252.49,25252.49
id,quantity,item_price,total_sum
20640465,1,1213310,1213310
id,quantity,item_price,total_sum
20639047,1,34048,34048
id,quantity,item_price,total_sum
20636566,50,900,45000
20636565,100,1500,150000
id,quantity,item_price,total_sum
